Zanieczyszczenie,Warszawa PM10 [ug/m3],Kraków PM10 [ug/m3]
2010-01-01,"24.3","90.8"
2010-01-02,"31.2","55.9"
2010-01-03,"31.4","46.3"
2010-01-04,"85.0","149.4"
2010-01-05,"94.5","137.0"
2010-01-06,"56.0","124.9"
2010-01-07,"98.0","191.3"
2010-01-08,"103.4","97.0"
2010-01-09,"40.5","44.5"
2010-01-10,"22.6","34.7"
2010-01-11,"35.9","103.0"
2010-01-12,"51.5","72.7"
2010-01-13,"42.6","65.7"
2010-01-14,"69.4","74.1"
2010-01-15,"54.9","81.3"
2010-01-16,"51.1","70.4"
2010-01-17,"25.1","96.6"
2010-01-18,"53.5","115.0"
2010-01-19,"42.6","100.6"
2010-01-20,"27.3","47.2"
2010-01-21,"27.3","45.8"
2010-01-22,"43.6","54.5"
2010-01-23,"59.4","86.4"
2010-01-24,"77.5","107.2"
2010-01-25,"127.9","186.8"
2010-01-26,"162.5","245.7"
2010-01-27,"138.0","336.7"
2010-01-28,"60.8","90.3"
2010-01-29,"54.4","49.2"
2010-01-30,"60.6","45.7"
2010-01-31,"52.7","69.3"
2010-02-01,"118.7","110.1"
2010-02-02,"86.7","80.7"
2010-02-03,"65.4","51.2"
2010-02-04,"87.6","152.3"
2010-02-05,"69.6","110.4"
2010-02-06,"43.4","52.9"
2010-02-07,"42.0","37.4"
2010-02-08,"62.8","73.8"
2010-02-09,"96.8","145.8"
2010-02-10,"79.3","127.9"
2010-02-11,"41.9","86.8"
2010-02-12,"52.7","162.4"
2010-02-13,"56.6","146.8"
2010-02-14,"58.8","68.0"
2010-02-15,"62.1","84.3"
2010-02-16,"110.0","147.0"
2010-02-17,"79.6","144.7"
2010-02-18,"99.2","185.3"
2010-02-19,"104.0","109.5"
2010-02-20,"76.6","77.2"
2010-02-21,"69.9","75.0"
2010-02-22,"57.1","84.4"
2010-02-23,"65.7","69.9"
2010-02-24,"44.4","215.4"
2010-02-25,"105.0","198.1"
2010-02-26,"75.9","162.0"
2010-02-27,"61.4","107.2"
2010-02-28,"50.7","77.2"
2010-03-01,"34.1","15.5"
2010-03-02,"41.3","50.2"
2010-03-03,"42.2","57.9"
2010-03-04,"89.2","111.4"
2010-03-05,"95.6","53.1"
2010-03-06,"48.4","38.1"
2010-03-07,"62.2","60.0"
2010-03-08,"68.2","110.8"
2010-03-09,"115.0","100.8"
2010-03-10,"85.7","162.0"
2010-03-11,"66.3","92.3"
2010-03-12,"114.8","107.4"
2010-03-13,"49.2","44.5"
2010-03-14,"34.4","22.9"
2010-03-15,"46.6","21.9"
2010-03-16,"47.0","42.2"
2010-03-17,"53.6","53.0"
2010-03-18,"84.2","95.8"
2010-03-19,"108.8","123.0"
2010-03-20,"83.0","85.4"
2010-03-21,"43.3","54.2"
2010-03-22,"49.6","65.0"
2010-03-23,"80.4","129.2"
2010-03-24,"74.5","126.3"
2010-03-25,"73.8","129.9"
2010-03-26,"101.0","73.4"
2010-03-27,"39.4","38.5"
2010-03-28,"57.3","78.3"
2010-03-29,"75.7","54.5"
2010-03-30,"60.7","35.5"
2010-03-31,"61.3","62.9"
2010-04-01,"59.1","63.6"
2010-04-02,"58.3","82.8"
2010-04-03,"40.4","54.5"
2010-04-04,"37.4","58.9"
2010-04-05,"41.9","38.8"
2010-04-06,"40.7","26.0"
2010-04-07,"46.7","47.0"
2010-04-08,"57.0","96.3"
