Miasto;Metraz;2015-08-15;2016-07-16;2016-08-16;œrednia_cena_2016;Zmiana mdm;Zmiana rdr
Bydgoszcz;maly;939;1032;1065;1012;3%;13%
Bydgoszcz;sredni;1234;1347;1370;1317;2%;11%
Bydgoszcz;duzy;1679;1863;1880;1807,333333;1%;12%
Gdansk;maly;1356;1586;1512;1484,666667;-5%;12%
Gdansk;sredni;1948;2247;2267;2154;1%;16%
Gdansk;duzy;2754;2972;2986;2904;0%;8%
Katowice;maly;1277;1198;1211;1228,666667;1%;-5%
Katowice;sredni;1771;1811;1859;1813,666667;3%;5%
Katowice;duzy;2373;2470;2526;2456,333333;2%;6%
Krakow;maly;1358;1452;1514;1441,333333;4%;11%
Krakow;sredni;1843;1908;1945;1898,666667;2%;6%
Krakow;duzy;2497;2589;2673;2586,333333;3%;7%
Lublin;maly;1190;1314;1318;1274;0%;11%
Lublin;sredni;1644;1731;1764;1713;2%;7%
Lublin;duzy;2183;2257;2252;2230,666667;0%;3%
Lodz;maly;932;995;983;970;-1%;5%
Lodz;sredni;1441;1483;1464;1462,666667;-1%;2%
Lodz;duzy;2026;2148;2248;2140,666667;5%;11%
Poznan;maly;1131;1102;1109;1114;1%;-2%
Poznan;sredni;1546;1621;1701;1622,666667;5%;10%
Poznan;duzy;2061;2133;2252;2148,666667;6%;9%
Szczecin;maly;1126;1198;1180;1168;-2%;5%
Szczecin;sredni;1530;1572;1570;1557,333333;0%;3%
Szczecin;duzy;1983;2131;2186;2100;3%;10%
Warszawa;maly;1910;2067;2093;2023,333333;1%;10%
Warszawa;sredni;2663;2784;2869;2772;3%;8%
Warszawa;duzy;3762;3951;4049;3920,666667;2%;8%
Wroclˆaw;maly;1383;1516;1616;1505;7%;17%
Wroclˆaw;sredni;2026;2132;2213;2123,666667;4%;9%
Wroclˆaw;duzy;2650;2694;2817;2720,333333;5%;6%
