Kraj;Rok;Wartosc;Indeks
Polska;2008;30.5;Polska
Polska;2015;23.4;Polska
Bu³garia;2008;44.8;Maksymalny
Bu³garia;2015;41.3;Maksymalny
Rumunia;2008;44.2;Maksymalny
Rumunia;2015;37.3;Maksymalny
Grecja;2008;28.1;Maksymalny
Grecja;2015;35.7;Maksymalny
£otwa;2008;34.2;Maksymalny
£otwa;2015;30.9;Maksymalny
Czechy;2008;15.3;Minimalny
Czechy;2015;14.0;Minimalny
Szwecja;2008;14.9;Minimalny
Szwecja;2015;16.0;Minimalny
Finlandia;2008;17.4;Minimalny
Finlandia;2015;16.8;Minimalny
Holandia;2008;14.9;Minimalny
Holandia;2015;16.8;Minimalny
Cypr;2008;23.3;Pozosta³e
Cypr;2015;28.9;Pozosta³e
W³ochy;2008;25.5;Pozosta³e
W³ochy;2015;28.7;Pozosta³e
Luksemburg;2008;15.5;Pozosta³e
Luksemburg;2015;18.5;Pozosta³e
