lata;miejsce;gmina;opis
2001-2003;103;Lubochnia;Wydatki ogó³em
2002-2004;176;Lubochnia;Wydatki ogó³em
2003-2005;434;Lubochnia;Wydatki ogó³em
2004-2006;898;Lubochnia;Wydatki ogó³em
2005-2007;1046;Lubochnia;Wydatki ogó³em
2006-2008;941;Lubochnia;Wydatki ogó³em
2007-2009;260;Lubochnia;Wydatki ogó³em
2008-2010;133;Lubochnia;Wydatki ogó³em
2009-2011;150;Lubochnia;Wydatki ogó³em
2010-2012;269;Lubochnia;Wydatki ogó³em
2011-2013;448;Lubochnia;Wydatki ogó³em
2012-2014;246;Lubochnia;Wydatki ogó³em
2001-2003;46;¯elechlinek;Wydatki ogó³em
2002-2004;36;¯elechlinek;Wydatki ogó³em
2003-2005;64;¯elechlinek;Wydatki ogó³em
2004-2006;224;¯elechlinek;Wydatki ogó³em
2005-2007;352;¯elechlinek;Wydatki ogó³em
2006-2008;368;¯elechlinek;Wydatki ogó³em
2007-2009;304;¯elechlinek;Wydatki ogó³em
2008-2010;174;¯elechlinek;Wydatki ogó³em
2009-2011;473;¯elechlinek;Wydatki ogó³em
2010-2012;608;¯elechlinek;Wydatki ogó³em
2011-2013;513;¯elechlinek;Wydatki ogó³em
2012-2014;343;¯elechlinek;Wydatki ogó³em
2001-2003;202;Czerniewice;Wydatki ogó³em
2002-2004;165;Czerniewice;Wydatki ogó³em
2003-2005;396;Czerniewice;Wydatki ogó³em
2004-2006;492;Czerniewice;Wydatki ogó³em
2005-2007;595;Czerniewice;Wydatki ogó³em
2006-2008;659;Czerniewice;Wydatki ogó³em
2007-2009;770;Czerniewice;Wydatki ogó³em
2008-2010;890;Czerniewice;Wydatki ogó³em
2009-2011;1114;Czerniewice;Wydatki ogó³em
2010-2012;1154;Czerniewice;Wydatki ogó³em
2011-2013;703;Czerniewice;Wydatki ogó³em
2012-2014;345;Czerniewice;Wydatki ogó³em
2001-2003;433;Ujazd;Wydatki ogó³em
2002-2004;692;Ujazd;Wydatki ogó³em
2003-2005;696;Ujazd;Wydatki ogó³em
2004-2006;536;Ujazd;Wydatki ogó³em
2005-2007;307;Ujazd;Wydatki ogó³em
2006-2008;377;Ujazd;Wydatki ogó³em
2007-2009;753;Ujazd;Wydatki ogó³em
2008-2010;914;Ujazd;Wydatki ogó³em
2009-2011;805;Ujazd;Wydatki ogó³em
2010-2012;745;Ujazd;Wydatki ogó³em
2011-2013;1013;Ujazd;Wydatki ogó³em
2012-2014;370;Ujazd;Wydatki ogó³em
2001-2003;945;Rzeczyca;Wydatki ogó³em
2002-2004;858;Rzeczyca;Wydatki ogó³em
2003-2005;1068;Rzeczyca;Wydatki ogó³em
2004-2006;1197;Rzeczyca;Wydatki ogó³em
2005-2007;1252;Rzeczyca;Wydatki ogó³em
2006-2008;1122;Rzeczyca;Wydatki ogó³em
2007-2009;1109;Rzeczyca;Wydatki ogó³em
2008-2010;832;Rzeczyca;Wydatki ogó³em
2009-2011;954;Rzeczyca;Wydatki ogó³em
2010-2012;853;Rzeczyca;Wydatki ogó³em
2011-2013;830;Rzeczyca;Wydatki ogó³em
2012-2014;429;Rzeczyca;Wydatki ogó³em
2001-2003;1157;Budziszewice;Wydatki ogó³em
2002-2004;1186;Budziszewice;Wydatki ogó³em
2003-2005;1020;Budziszewice;Wydatki ogó³em
2004-2006;1304;Budziszewice;Wydatki ogó³em
2005-2007;1306;Budziszewice;Wydatki ogó³em
2006-2008;1309;Budziszewice;Wydatki ogó³em
2007-2009;1110;Budziszewice;Wydatki ogó³em
2008-2010;167;Budziszewice;Wydatki ogó³em
2009-2011;322;Budziszewice;Wydatki ogó³em
2010-2012;164;Budziszewice;Wydatki ogó³em
2011-2013;640;Budziszewice;Wydatki ogó³em
2012-2014;575;Budziszewice;Wydatki ogó³em
2001-2003;754;Tomaszów Maz.;Wydatki ogó³em
2002-2004;774;Tomaszów Maz.;Wydatki ogó³em
2003-2005;947;Tomaszów Maz.;Wydatki ogó³em
2004-2006;1063;Tomaszów Maz.;Wydatki ogó³em
2005-2007;1291;Tomaszów Maz.;Wydatki ogó³em
2006-2008;1223;Tomaszów Maz.;Wydatki ogó³em
2007-2009;1323;Tomaszów Maz.;Wydatki ogó³em
2008-2010;1449;Tomaszów Maz.;Wydatki ogó³em
2009-2011;1496;Tomaszów Maz.;Wydatki ogó³em
2010-2012;1381;Tomaszów Maz.;Wydatki ogó³em
2011-2013;877;Tomaszów Maz.;Wydatki ogó³em
