Radio RMF FM,35.7,32.1,28.5,32.5
Trójka,8.3,9.7,12,10
Radio Piekary,4.7,6.3,5.8,5.1
Polskie Radio Katowice,3.9,3.4,2.5,5.1
Jedynka,4.5,5.2,4.4,5
Radio Z³ote Przeboje Karolina 91.2 FM (Katowice),5.2,5.4,4.7,4.8
Radio RMF MAXXX (Œl¹sk),4.5,4.9,5.9,4.6
Radio ZET,5.2,5.6,5.2,4.6
Radio Fest (Chorzów),3.8,3.8,3.5,3.7
Radio ESKA (Katowice),4.3,3.7,2.8,3.5
Radio VOX FM (sieæ: 17 czêstotliwoœci),2.6,2.6,2.3,3.4
AntyRadio 106.4 FM (Katowice),3.2,3.5,4.7,3.2
Radio Silesia (Zabrze),0.7,1.5,2.3,2.7
Radio TOK FM,1.9,1.7,2.8,2.6
Radio Pogoda (Katowice),1,1.5,1.1,1.4
Radio Express FM (Tychy),1.2,1.1,1.6,1.3
Radio eM 107.6 FM (Katowice),0.9,0.8,1.2,1
Radio ZET Gold (Katowice),1.5,1,1.4,1
Radio RMF Classic (sieæ: 18 czêstotliwoœci),1.5,1.8,2.2,0.9
Radio Maryja,1.6,0.4,0.9,0.7
Dwójka,0.4,0.9,0.9,0.6
Radio ZET CHILLI (Katowice),0.4,0.4,0.5,0.5
Radio CCM,1.1,1.1,1,0.5
Radio Bielsko,0.2,0.4,0.1,0.2
Polskie Radio 24 / do 2016-08 Czwórka,0.3,0.2,0.3,0.2
