"deputy" "partia" "ile_razy_mowil" "name" "procentowa_zgodnosc" "srednia_zgodnosc"
"1" 1 "PiS" 29 "Abramowicz Adam" 99.5 0.997
"2" 2 "PiS" 5 "Adamczyk Andrzej" 99 0.997
"3" 3 "PO" 62 "Ajchler Zbigniew" 95.5 0.985
"4" 4 "Kukiz15" 16 "Andruszkiewicz Adam" 93.4 0.901
"5" 5 "PiS" 71 "Andzel Waldemar" 99.8 0.997
"6" 6 "Kukiz15" 18 "Apel Piotr" 88.7 0.901
"7" 7 "PiS" 14 "Arciszewska-Mielewczyk Dorota" 99.8 0.997
"8" 8 "PiS" 47 "Ardanowski Jan Krzysztof" 99.7 0.997
"9" 9 "PiS" 3 "Arent Iwona" 99.9 0.997
"10" 10 "PO" 22 "Ar³ukowicz Bartosz" 99.3 0.985
"11" 11 "PO" 15 "Arndt Pawe³" 99.2 0.985
"12" 12 "PiS" 39 "Ast Marek" 99.8 0.997
"13" 13 "PO" 21 "Augustyn Urszula" 99.3 0.985
"14" 14 "N" 63 "Augustynowska Joanna" 94.1 0.947
"15" 15 "PO" 10 "Aziewicz Tadeusz" 98.3 0.985
"16" 16 "PiS" 1 "Babalski Zbigniew" 99.4 0.997
"17" 17 "PiS" 4 "Babiarz Piotr £ukasz" 99.6 0.997
"18" 18 "PiS" 15 "Babinetz Piotr" 100 0.997
"19" 19 "Kukiz15" 24 "Bakun Wojciech" 91.9 0.901
"20" 20 "PO" 16 "Bañkowski Pawe³" 99 0.985
"21" 21 "PiS" 15 "Bartosik Ryszard" 99.8 0.997
"22" 22 "PiS" 37 "Bartuœ Barbara" 99.7 0.997
"23" 23 "PSL" 44 "Baszko Mieczys³aw Kazimierz" 97.3 0.959
"24" 24 "PiS" 11 "B¹k Dariusz" 99.8 0.997
"25" 25 "PSL" 39 "Bejda Pawe³" 98.5 0.959
"26" 26 "PiS" 23 "Bernacki W³odzimierz" 99.8 0.997
"27" 27 "PO" 17 "Bia³kowska Anna" 99.1 0.985
"28" 28 "PiS" 10 "Bielecki Jerzy" 99.9 0.997
"29" 29 "PO" 0 "Biernacki Marek" 98.7 0.985
"30" 30 "PiS" 25 "Biernat Zbigniew" 99.8 0.997
"31" 31 "PiS" 7 "B³aszczak Mariusz" 99.7 0.997
"32" 32 "Kukiz15" 6 "B³eñska Magdalena" 93.2 0.901
"33" 33 "PiS" 0 "Bogucki Jacek" 99.4 0.997
"34" 34 "PO" 2 "Borowczak Jerzy" 98.7 0.985
"35" 35 "PiS" 62 "Borowiak Joanna" 99.9 0.997
"36" 36 "PiS" 16 "Borowiec Agata" 99.8 0.997
"37" 37 "Kukiz15" 28 "Borowska El¿bieta" 93.8 0.901
"38" 38 "PiS" 22 "Borys-Szopa Bo¿ena" 99.8 0.997
"39" 39 "PO" 89 "Brejza Krzysztof" 97.7 0.985
"40" 40 "PiS" 10 "Brudziñski Joachim" 99.7 0.997
"41" 41 "Kukiz15" 27 "Brynkus Józef" 87.5 0.901
"42" 42 "PiS" 23 "Bubula Barbara" 99.6 0.997
