"nr_glosowania" "za" "przeciw" "wstrzymal" "nieobecny" "obecny" "tendencja" "proc_zgodnosci"
"1" 1 37 0 0 4 37 "Za" 1
"2" 2 0 36 1 4 37 "Przeciw" 0.97
"3" 3 0 37 1 3 38 "Przeciw" 0.97
"4" 4 0 37 1 3 38 "Przeciw" 0.97
"5" 5 0 35 2 4 37 "Przeciw" 0.95
"6" 6 0 37 1 3 38 "Przeciw" 0.97
"7" 7 0 36 2 3 38 "Przeciw" 0.95
"8" 8 0 37 1 3 38 "Przeciw" 0.97
"9" 9 0 36 2 3 38 "Przeciw" 0.95
"10" 10 0 36 1 4 37 "Przeciw" 0.97
"11" 11 0 36 2 3 38 "Przeciw" 0.95
"12" 12 0 37 1 3 38 "Przeciw" 0.97
"13" 13 1 36 1 3 38 "Przeciw" 0.95
"14" 14 0 2 36 3 38 "Wstrzyma³ siê" 0.95
"15" 15 0 1 36 4 37 "Wstrzyma³ siê" 0.97
"16" 16 0 2 34 5 36 "Wstrzyma³ siê" 0.94
"17" 17 0 2 35 4 37 "Wstrzyma³ siê" 0.95
"18" 18 0 2 34 5 36 "Wstrzyma³ siê" 0.94
"19" 19 0 1 36 4 37 "Wstrzyma³ siê" 0.97
"20" 20 0 0 37 4 37 "Wstrzyma³ siê" 1
"21" 21 0 0 36 5 36 "Wstrzyma³ siê" 1
"22" 22 0 1 36 4 37 "Wstrzyma³ siê" 0.97
"23" 23 1 0 37 3 38 "Wstrzyma³ siê" 0.97
"24" 24 0 0 38 3 38 "Wstrzyma³ siê" 1
"25" 25 0 2 36 3 38 "Wstrzyma³ siê" 0.95
"26" 26 0 2 36 3 38 "Wstrzyma³ siê" 0.95
"27" 27 1 4 32 4 37 "Wstrzyma³ siê" 0.86
"28" 28 0 0 37 4 37 "Wstrzyma³ siê" 1
"29" 29 0 0 36 5 36 "Wstrzyma³ siê" 1
"30" 30 0 0 36 5 36 "Wstrzyma³ siê" 1
"31" 31 4 1 22 14 27 "Wstrzyma³ siê" 0.81
"32" 32 35 1 1 4 37 "Za" 0.95
"33" 33 18 17 1 5 36 "Za" 0.5
"34" 34 1 36 3 1 40 "Przeciw" 0.9
"35" 35 3 37 0 1 40 "Przeciw" 0.92
"36" 36 13 23 5 0 41 "Przeciw" 0.56
"37" 37 41 0 0 0 41 "Za" 1
"38" 38 30 6 4 1 40 "Za" 0.75
"39" 39 41 0 0 0 41 "Za" 1
"40" 40 25 11 5 0 41 "Za" 0.61
"41" 41 41 0 0 0 41 "Za" 1
"42" 42 41 0 0 0 41 "Za" 1
"43" 43 41 0 0 0 41 "Za" 1
"44" 44 41 0 0 0 41 "Za" 1
"45" 45 33 6 2 0 41 "Za" 0.8
"46" 46 34 1 6 0 41 "Za" 0.83
"47" 47 41 0 0 0 41 "Za" 1
"48" 48 41 0 0 0 41 "Za" 1
"49" 49 41 0 0 0 41 "Za" 1
"50" 50 38 3 0 0 41 "Za" 0.93
"51" 51 41 0 0 0 41 "Za" 1
"52" 52 35 5 1 0 41 "Za" 0.85
"53" 53 41 0 0 0 41 "Za" 1
"54" 54 41 0 0 0 41 "Za" 1
"55" 55 21 13 6 1 40 "Za" 0.52
"56" 56 41 0 0 0 41 "Za" 1
"57" 57 40 0 1 0 41 "Za" 0.98
"58" 58 0 39 1 1 40 "Przeciw" 0.98
"59" 59 41 0 0 0 41 "Za" 1
"60" 60 39 0 1 1 40 "Za" 0.98
"61" 61 39 0 1 1 40 "Za" 0.98
"62" 62 28 6 6 1 40 "Za" 0.7
"63" 63 0 36 4 1 40 "Przeciw" 0.9
"64" 64 2 0 38 1 40 "Wstrzyma³ siê" 0.95
"65" 65 0 3 34 4 37 "Wstrzyma³ siê" 0.92
"66" 66 1 38 1 1 40 "Przeciw" 0.95
"67" 67 0 20 20 1 40 "Przeciw" 0.5
"68" 68 40 0 0 1 40 "Za" 1
"69" 69 3 35 1 2 39 "Przeciw" 0.9
"70" 70 40 0 0 1 40 "Za" 1
"71" 71 40 1 0 1 41 "Za" 0.98
"72" 72 40 0 1 1 41 "Za" 0.98
"73" 73 2 36 3 1 41 "Przeciw" 0.88
"74" 74 8 7 26 1 41 "Wstrzyma³ siê" 0.63
"75" 75 40 0 1 1 41 "Za" 0.98
"76" 76 3 0 35 4 38 "Wstrzyma³ siê" 0.92
"77" 77 0 1 31 10 32 "Wstrzyma³ siê" 0.97
"78" 78 38 0 1 2 39 "Za" 0.97
"79" 79 37 0 1 3 38 "Za" 0.97
"80" 80 37 0 1 3 38 "Za" 0.97
"81" 81 37 0 1 3 38 "Za" 0.97
"82" 82 37 0 1 3 38 "Za" 0.97
"83" 83 37 0 1 3 38 "Za" 0.97
"84" 84 36 0 1 4 37 "Za" 0.97
"85" 85 0 33 2 6 35 "Przeciw" 0.94
"86" 86 37 0 0 4 37 "Za" 1
"87" 87 35 0 2 4 37 "Za" 0.95
"88" 88 35 0 2 4 37 "Za" 0.95
"89" 89 35 0 2 4 37 "Za" 0.95
"90" 90 36 0 1 4 37 "Za" 0.97
"91" 91 35 0 2 4 37 "Za" 0.95
"92" 92 0 36 1 4 37 "Przeciw" 0.97
"93" 93 40 0 0 1 40 "Za" 1
"94" 94 40 0 0 1 40 "Za" 1
"95" 95 0 36 4 1 40 "Przeciw" 0.9
"96" 96 40 0 0 1 40 "Za" 1
"97" 97 32 5 3 1 40 "Za" 0.8
"98" 98 39 0 1 1 40 "Za" 0.98
"99" 99 40 0 0 1 40 "Za" 1
"100" 100 40 0 0 1 40 "Za" 1
"101" 101 40 0 0 1 40 "Za" 1
"102" 102 0 37 2 2 39 "Przeciw" 0.95
"103" 103 35 2 3 1 40 "Za" 0.88
"104" 104 29 1 6 5 36 "Za" 0.81
"105" 105 33 4 2 2 39 "Za" 0.85
"106" 106 35 0 0 6 35 "Za" 1
"107" 107 33 0 2 6 35 "Za" 0.94
"108" 108 1 0 7 33 8 "Wstrzyma³ siê" 0.88
"109" 109 1 1 7 32 9 "Wstrzyma³ siê" 0.78
"110" 110 1 3 15 22 19 "Wstrzyma³ siê" 0.79
"111" 111 3 0 4 34 7 "Wstrzyma³ siê" 0.57
"112" 112 4 7 18 12 29 "Wstrzyma³ siê" 0.62
"113" 113 2 1 4 34 7 "Wstrzyma³ siê" 0.57
"114" 114 2 3 6 30 11 "Wstrzyma³ siê" 0.55
"115" 115 1 10 22 8 33 "Wstrzyma³ siê" 0.67
"116" 116 29 3 5 4 37 "Za" 0.78
"117" 117 1 38 1 1 40 "Przeciw" 0.95
"118" 118 37 1 1 2 39 "Za" 0.95
"119" 119 32 0 0 9 32 "Za" 1
"120" 120 0 36 2 3 38 "Przeciw" 0.95
"121" 121 37 0 2 2 39 "Za" 0.95
"122" 122 1 36 2 2 39 "Przeciw" 0.92
"123" 123 36 1 1 3 38 "Za" 0.95
"124" 124 41 0 0 0 41 "Za" 1
"125" 125 41 0 0 0 41 "Za" 1
"126" 126 39 0 1 1 40 "Za" 0.98
"127" 127 3 36 1 1 40 "Przeciw" 0.9
"128" 128 36 1 3 1 40 "Za" 0.9
"129" 129 4 35 1 1 40 "Przeciw" 0.88
"130" 130 1 37 1 2 39 "Przeciw" 0.95
"131" 131 37 0 1 3 38 "Za" 0.97
"132" 132 29 6 4 2 39 "Za" 0.74
"133" 133 36 0 3 2 39 "Za" 0.92
"134" 134 1 30 8 2 39 "Przeciw" 0.77
"135" 135 37 0 2 2 39 "Za" 0.95
"136" 136 4 28 7 2 39 "Przeciw" 0.72
"137" 137 11 25 3 2 39 "Przeciw" 0.64
"138" 138 0 2 35 4 37 "Wstrzyma³ siê" 0.95
"139" 139 1 21 17 2 39 "Przeciw" 0.54
"140" 140 4 12 22 3 38 "Wstrzyma³ siê" 0.58
"141" 141 5 31 2 3 38 "Przeciw" 0.82
"142" 142 3 32 2 4 37 "Przeciw" 0.86
"143" 143 37 0 1 3 38 "Za" 0.97
"144" 144 4 23 8 6 35 "Przeciw" 0.66
"145" 145 38 0 0 3 38 "Za" 1
"146" 146 1 37 0 3 38 "Przeciw" 0.97
"147" 147 35 3 0 3 38 "Za" 0.92
"148" 148 0 37 1 3 38 "Przeciw" 0.97
"149" 149 34 0 1 6 35 "Za" 0.97
"150" 150 0 35 0 6 35 "Przeciw" 1
"151" 151 0 34 0 7 34 "Przeciw" 1
"152" 152 0 35 0 6 35 "Przeciw" 1
"153" 153 0 34 0 7 34 "Przeciw" 1
"154" 154 10 26 2 3 38 "Przeciw" 0.68
"155" 155 37 0 0 4 37 "Za" 1
"156" 156 37 0 0 4 37 "Za" 1
"157" 157 36 0 0 5 36 "Za" 1
"158" 158 35 2 0 4 37 "Za" 0.95
"159" 159 36 0 1 4 37 "Za" 0.97
"160" 160 38 1 0 2 39 "Za" 0.97
"161" 161 24 1 13 3 38 "Za" 0.63
"162" 162 0 26 13 2 39 "Przeciw" 0.67
"163" 163 18 10 11 2 39 "Za" 0.46
"164" 164 16 17 6 2 39 "Przeciw" 0.44
"165" 165 0 36 3 2 39 "Przeciw" 0.92
"166" 166 2 2 35 2 39 "Wstrzyma³ siê" 0.9
"167" 167 30 4 5 2 39 "Za" 0.77
"168" 168 38 0 1 2 39 "Za" 0.97
"169" 169 1 34 4 2 39 "Przeciw" 0.87
"170" 170 4 30 5 2 39 "Przeciw" 0.77
"171" 171 33 1 1 6 35 "Za" 0.94
"172" 172 1 15 6 19 22 "Przeciw" 0.68
"173" 173 36 0 0 4 36 "Za" 1
"174" 174 36 0 0 4 36 "Za" 1
"175" 175 34 0 0 6 34 "Za" 1
"176" 176 34 0 0 6 34 "Za" 1
"177" 177 2 34 2 2 38 "Przeciw" 0.89
"178" 178 36 0 2 2 38 "Za" 0.95
"179" 179 36 0 2 2 38 "Za" 0.95
"180" 180 4 33 1 2 38 "Przeciw" 0.87
"181" 181 2 0 36 2 38 "Wstrzyma³ siê" 0.95
"182" 182 1 35 2 2 38 "Przeciw" 0.92
"183" 183 36 0 2 2 38 "Za" 0.95
"184" 184 1 3 28 8 32 "Wstrzyma³ siê" 0.88
"185" 185 0 34 4 2 38 "Przeciw" 0.89
"186" 186 30 4 4 2 38 "Za" 0.79
"187" 187 2 0 36 2 38 "Wstrzyma³ siê" 0.95
