"nr_glosowania" "za" "przeciw" "wstrzymal" "nieobecny" "obecny" "tendencja" "proc_zgodnosci"
"1" 1 229 0 0 5 229 "Za" 1
"2" 2 0 234 0 0 234 "Przeciw" 1
"3" 3 0 234 0 0 234 "Przeciw" 1
"4" 4 0 233 0 1 233 "Przeciw" 1
"5" 5 0 234 0 0 234 "Przeciw" 1
"6" 6 1 232 0 1 233 "Przeciw" 1
"7" 7 0 234 0 0 234 "Przeciw" 1
"8" 8 0 234 0 0 234 "Przeciw" 1
"9" 9 0 234 0 0 234 "Przeciw" 1
"10" 10 0 234 0 0 234 "Przeciw" 1
"11" 11 0 234 0 0 234 "Przeciw" 1
"12" 12 0 234 0 0 234 "Przeciw" 1
"13" 13 0 234 0 0 234 "Przeciw" 1
"14" 14 0 233 0 1 233 "Przeciw" 1
"15" 15 0 232 0 2 232 "Przeciw" 1
"16" 16 0 233 0 1 233 "Przeciw" 1
"17" 17 0 233 0 1 233 "Przeciw" 1
"18" 18 0 233 0 1 233 "Przeciw" 1
"19" 19 0 233 0 1 233 "Przeciw" 1
"20" 20 0 233 0 1 233 "Przeciw" 1
"21" 21 0 232 0 2 232 "Przeciw" 1
"22" 22 0 233 0 1 233 "Przeciw" 1
"23" 23 0 233 0 1 233 "Przeciw" 1
"24" 24 0 233 0 1 233 "Przeciw" 1
"25" 25 0 233 0 1 233 "Przeciw" 1
"26" 26 0 233 0 1 233 "Przeciw" 1
"27" 27 0 233 0 1 233 "Przeciw" 1
"28" 28 0 233 0 1 233 "Przeciw" 1
"29" 29 0 233 0 1 233 "Przeciw" 1
"30" 30 0 233 0 1 233 "Przeciw" 1
"31" 31 225 0 0 9 225 "Za" 1
"32" 32 233 0 0 1 233 "Za" 1
"33" 33 233 0 0 1 233 "Za" 1
"34" 34 234 0 0 0 234 "Za" 1
"35" 35 1 233 0 0 234 "Przeciw" 1
"36" 36 231 2 1 0 234 "Za" 0.99
"37" 37 233 1 0 0 234 "Za" 1
"38" 38 224 5 5 0 234 "Za" 0.96
"39" 39 233 1 0 0 234 "Za" 1
"40" 40 4 230 0 0 234 "Przeciw" 0.98
"41" 41 234 0 0 0 234 "Za" 1
"42" 42 233 0 0 1 233 "Za" 1
"43" 43 234 0 0 0 234 "Za" 1
"44" 44 234 0 0 0 234 "Za" 1
"45" 45 227 2 3 2 232 "Za" 0.98
"46" 46 8 222 3 1 233 "Przeciw" 0.95
"47" 47 233 0 0 1 233 "Za" 1
"48" 48 233 0 0 1 233 "Za" 1
"49" 49 233 0 0 1 233 "Za" 1
"50" 50 224 6 1 3 231 "Za" 0.97
"51" 51 234 0 0 0 234 "Za" 1
"52" 52 226 3 4 1 233 "Za" 0.97
"53" 53 234 0 0 0 234 "Za" 1
"54" 54 234 0 0 0 234 "Za" 1
"55" 55 222 4 1 7 227 "Za" 0.98
"56" 56 234 0 0 0 234 "Za" 1
"57" 57 234 0 0 0 234 "Za" 1
"58" 58 234 0 0 0 234 "Za" 1
"59" 59 234 0 0 0 234 "Za" 1
"60" 60 234 0 0 0 234 "Za" 1
"61" 61 234 0 0 0 234 "Za" 1
"62" 62 234 0 0 0 234 "Za" 1
"63" 63 234 0 0 0 234 "Za" 1
"64" 64 0 233 0 1 233 "Przeciw" 1
"65" 65 0 231 0 3 231 "Przeciw" 1
"66" 66 231 0 0 3 231 "Za" 1
"67" 67 233 0 0 2 233 "Za" 1
"68" 68 0 232 0 3 232 "Przeciw" 1
