"nr_glosowania" "za" "przeciw" "wstrzymal" "nieobecny" "obecny" "tendencja" "proc_zgodnosci"
"1" 1 0 0 0 138 0 "Za" 0
"2" 2 110 0 0 28 110 "Za" 1
"3" 3 108 2 0 28 110 "Za" 0.98
"4" 4 109 1 0 28 110 "Za" 0.99
"5" 5 110 0 0 28 110 "Za" 1
"6" 6 2 1 111 24 114 "Wstrzyma³ siê" 0.97
"7" 7 113 0 1 24 114 "Za" 0.99
"8" 8 0 0 115 23 115 "Wstrzyma³ siê" 1
"9" 9 115 0 0 23 115 "Za" 1
"10" 10 115 0 0 23 115 "Za" 1
"11" 11 5 0 110 23 115 "Wstrzyma³ siê" 0.96
"12" 12 115 0 0 23 115 "Za" 1
"13" 13 114 1 0 23 115 "Za" 0.99
"14" 14 1 114 0 23 115 "Przeciw" 0.99
"15" 15 0 115 1 22 116 "Przeciw" 0.99
"16" 16 0 114 1 23 115 "Przeciw" 0.99
"17" 17 0 112 1 25 113 "Przeciw" 0.99
"18" 18 0 114 1 23 115 "Przeciw" 0.99
"19" 19 0 114 1 23 115 "Przeciw" 0.99
"20" 20 0 115 0 23 115 "Przeciw" 1
"21" 21 0 114 0 24 114 "Przeciw" 1
"22" 22 0 116 0 22 116 "Przeciw" 1
"23" 23 0 116 0 22 116 "Przeciw" 1
"24" 24 0 115 0 23 115 "Przeciw" 1
"25" 25 0 115 0 23 115 "Przeciw" 1
"26" 26 0 116 0 22 116 "Przeciw" 1
"27" 27 0 116 0 22 116 "Przeciw" 1
"28" 28 0 115 0 23 115 "Przeciw" 1
"29" 29 0 115 0 23 115 "Przeciw" 1
"30" 30 0 115 0 23 115 "Przeciw" 1
"31" 31 0 106 0 32 106 "Przeciw" 1
"32" 32 0 124 0 14 124 "Przeciw" 1
"33" 33 0 122 0 16 122 "Przeciw" 1
"34" 34 0 136 0 2 136 "Przeciw" 1
"35" 35 136 0 0 2 136 "Za" 1
"36" 36 133 0 3 2 136 "Za" 0.98
"37" 37 0 135 1 2 136 "Przeciw" 0.99
"38" 38 136 0 0 2 136 "Za" 1
"39" 39 87 46 3 2 136 "Za" 0.64
"40" 40 136 0 0 2 136 "Za" 1
"41" 41 136 0 0 2 136 "Za" 1
"42" 42 136 0 0 2 136 "Za" 1
"43" 43 135 0 0 3 135 "Za" 1
"44" 44 136 0 0 2 136 "Za" 1
"45" 45 135 0 1 2 136 "Za" 0.99
"46" 46 1 135 0 2 136 "Przeciw" 0.99
"47" 47 136 0 0 2 136 "Za" 1
"48" 48 132 4 0 2 136 "Za" 0.97
"49" 49 136 0 0 2 136 "Za" 1
"50" 50 136 0 0 2 136 "Za" 1
"51" 51 136 0 0 2 136 "Za" 1
"52" 52 136 0 0 2 136 "Za" 1
"53" 53 136 0 0 2 136 "Za" 1
"54" 54 132 2 2 2 136 "Za" 0.97
"55" 55 136 0 0 2 136 "Za" 1
"56" 56 136 0 0 2 136 "Za" 1
"57" 57 0 0 136 2 136 "Wstrzyma³ siê" 1
"58" 58 0 135 1 2 136 "Przeciw" 0.99
"59" 59 136 0 0 2 136 "Za" 1
"60" 60 129 0 1 8 130 "Za" 0.99
"61" 61 128 0 2 8 130 "Za" 0.98
"62" 62 0 130 0 8 130 "Przeciw" 1
"63" 63 1 129 0 8 130 "Przeciw" 0.99
"64" 64 130 0 0 8 130 "Za" 1
"65" 65 129 0 0 9 129 "Za" 1
"66" 66 1 129 0 8 130 "Przeciw" 0.99
"67" 67 0 128 0 10 128 "Przeciw" 1
"68" 68 128 0 0 10 128 "Za" 1
"69" 69 128 0 0 10 128 "Za" 1
"70" 70 123 1 2 12 126 "Za" 0.98
"71" 71 45 60 29 4 134 "Przeciw" 0.45
"72" 72 90 24 19 5 133 "Za" 0.68
"73" 73 132 0 0 6 132 "Za" 1
"74" 74 130 3 1 4 134 "Za" 0.97
"75" 75 29 72 26 11 127 "Przeciw" 0.57
"76" 76 0 133 0 5 133 "Przeciw" 1
"77" 77 132 0 0 6 132 "Za" 1
"78" 78 0 79 0 59 79 "Przeciw" 1
"79" 79 0 1 0 137 1 "Przeciw" 1
"80" 80 0 1 0 137 1 "Przeciw" 1
"81" 81 0 1 0 137 1 "Przeciw" 1
"82" 82 0 1 0 137 1 "Przeciw" 1
"83" 83 0 1 0 137 1 "Przeciw" 1
"84" 84 0 1 0 137 1 "Przeciw" 1
"85" 85 111 0 0 27 111 "Za" 1
"86" 86 0 121 0 17 121 "Przeciw" 1
"87" 87 0 118 0 20 118 "Przeciw" 1
"88" 88 0 121 0 17 121 "Przeciw" 1
"89" 89 0 121 0 17 121 "Przeciw" 1
"90" 90 0 116 0 22 116 "Przeciw" 1
"91" 91 0 121 0 17 121 "Przeciw" 1
"92" 92 120 0 1 17 121 "Za" 0.99
"93" 93 120 0 1 17 121 "Za" 0.99
"94" 94 92 16 12 18 120 "Za" 0.77
"95" 95 121 0 0 17 121 "Za" 1
"96" 96 98 14 9 17 121 "Za" 0.81
"97" 97 120 0 0 18 120 "Za" 1
"98" 98 4 116 0 18 120 "Przeciw" 0.97
"99" 99 2 118 1 17 121 "Przeciw" 0.98
"100" 100 94 15 10 19 119 "Za" 0.79
"101" 101 5 110 4 19 119 "Przeciw" 0.92
"102" 102 121 0 0 17 121 "Za" 1
"103" 103 120 0 0 18 120 "Za" 1
"104" 104 6 115 1 16 122 "Przeciw" 0.94
"105" 105 120 0 3 15 123 "Za" 0.98
"106" 106 0 4 117 17 121 "Wstrzyma³ siê" 0.97
"107" 107 79 20 10 28 109 "Za" 0.72
"108" 108 0 124 0 13 124 "Przeciw" 1
"109" 109 0 124 0 13 124 "Przeciw" 1
"110" 110 0 123 0 14 123 "Przeciw" 1
"111" 111 0 126 0 11 126 "Przeciw" 1
"112" 112 0 126 0 11 126 "Przeciw" 1
"113" 113 0 116 0 21 116 "Przeciw" 1
"114" 114 0 122 0 15 122 "Przeciw" 1
"115" 115 0 124 0 13 124 "Przeciw" 1
"116" 116 124 0 0 13 124 "Za" 1
"117" 117 0 124 0 13 124 "Przeciw" 1
"118" 118 125 0 0 12 125 "Za" 1
"119" 119 122 1 0 14 123 "Za" 0.99
"120" 120 0 129 0 9 129 "Przeciw" 1
"121" 121 128 0 0 10 128 "Za" 1
"122" 122 128 0 0 10 128 "Za" 1
"123" 123 7 120 0 11 127 "Przeciw" 0.94
"124" 124 132 0 2 4 134 "Za" 0.99
"125" 125 135 0 0 3 135 "Za" 1
"126" 126 134 0 1 3 135 "Za" 0.99
"127" 127 135 0 0 3 135 "Za" 1
"128" 128 135 0 0 3 135 "Za" 1
"129" 129 135 0 0 3 135 "Za" 1
"130" 130 0 134 0 4 134 "Przeciw" 1
"131" 131 109 0 4 25 113 "Za" 0.96
"132" 132 121 1 0 16 122 "Za" 0.99
"133" 133 0 122 0 16 122 "Przeciw" 1
"134" 134 0 121 0 17 121 "Przeciw" 1
"135" 135 0 122 0 16 122 "Przeciw" 1
"136" 136 1 121 0 16 122 "Przeciw" 0.99
"137" 137 2 119 0 17 121 "Przeciw" 0.98
"138" 138 122 0 0 16 122 "Za" 1
"139" 139 122 0 0 16 122 "Za" 1
"140" 140 122 0 0 16 122 "Za" 1
"141" 141 121 1 0 16 122 "Za" 0.99
"142" 142 121 0 0 17 121 "Za" 1
"143" 143 0 120 1 17 121 "Przeciw" 0.99
"144" 144 121 0 1 16 122 "Za" 0.99
"145" 145 118 0 6 14 124 "Za" 0.95
"146" 146 0 128 1 9 129 "Przeciw" 0.99
"147" 147 0 128 1 9 129 "Przeciw" 0.99
"148" 148 126 2 1 9 129 "Za" 0.98
"149" 149 0 3 128 7 131 "Wstrzyma³ siê" 0.98
"150" 150 131 0 0 7 131 "Za" 1
"151" 151 131 0 0 7 131 "Za" 1
"152" 152 131 0 0 7 131 "Za" 1
"153" 153 131 0 0 7 131 "Za" 1
"154" 154 128 1 0 9 129 "Za" 0.99
"155" 155 129 0 2 7 131 "Za" 0.98
"156" 156 130 0 0 8 130 "Za" 1
"157" 157 128 1 1 8 130 "Za" 0.98
"158" 158 0 129 1 8 130 "Przeciw" 0.99
"159" 159 1 128 2 7 131 "Przeciw" 0.98
"160" 160 129 0 0 9 129 "Za" 1
"161" 161 0 131 0 7 131 "Przeciw" 1
"162" 162 129 2 0 7 131 "Za" 0.98
"163" 163 0 14 116 8 130 "Wstrzyma³ siê" 0.89
"164" 164 0 130 0 8 130 "Przeciw" 1
"165" 165 0 129 0 9 129 "Przeciw" 1
"166" 166 129 0 0 9 129 "Za" 1
"167" 167 131 0 0 7 131 "Za" 1
"168" 168 0 131 0 7 131 "Przeciw" 1
"169" 169 0 130 0 8 130 "Przeciw" 1
"170" 170 0 131 0 7 131 "Przeciw" 1
"171" 171 3 118 5 12 126 "Przeciw" 0.94
"172" 172 110 0 0 28 110 "Za" 1
"173" 173 109 0 0 29 109 "Za" 1
"174" 174 109 0 0 29 109 "Za" 1
"175" 175 109 0 0 29 109 "Za" 1
"176" 176 108 0 0 30 108 "Za" 1
"177" 177 0 107 0 31 107 "Przeciw" 1
"178" 178 111 0 0 27 111 "Za" 1
"179" 179 113 0 0 25 113 "Za" 1
"180" 180 116 0 0 22 116 "Za" 1
