"nr_glosowania" "za" "przeciw" "wstrzymal" "nieobecny" "obecny" "tendencja" "proc_zgodnosci"
"1" 1 0 0 0 16 0 "Za" 0
"2" 2 12 0 0 4 12 "Za" 1
"3" 3 12 0 0 4 12 "Za" 1
"4" 4 12 0 0 4 12 "Za" 1
"5" 5 11 0 1 4 12 "Za" 0.92
"6" 6 12 0 0 4 12 "Za" 1
"7" 7 0 12 0 4 12 "Przeciw" 1
"8" 8 12 0 0 4 12 "Za" 1
"9" 9 10 0 2 4 12 "Za" 0.83
"10" 10 1 10 1 4 12 "Przeciw" 0.83
"11" 11 0 10 2 4 12 "Przeciw" 0.83
"12" 12 0 11 0 5 11 "Przeciw" 1
"13" 13 12 0 0 4 12 "Za" 1
"14" 14 12 0 0 4 12 "Za" 1
"15" 15 0 12 0 4 12 "Przeciw" 1
"16" 16 0 12 0 4 12 "Przeciw" 1
"17" 17 0 12 0 4 12 "Przeciw" 1
"18" 18 0 12 0 4 12 "Przeciw" 1
"19" 19 0 12 0 4 12 "Przeciw" 1
"20" 20 0 12 0 4 12 "Przeciw" 1
"21" 21 0 12 0 4 12 "Przeciw" 1
"22" 22 0 12 0 4 12 "Przeciw" 1
"23" 23 0 12 0 4 12 "Przeciw" 1
"24" 24 0 12 0 4 12 "Przeciw" 1
"25" 25 0 12 0 4 12 "Przeciw" 1
"26" 26 0 12 0 4 12 "Przeciw" 1
"27" 27 0 12 0 4 12 "Przeciw" 1
"28" 28 0 12 0 4 12 "Przeciw" 1
"29" 29 0 12 0 4 12 "Przeciw" 1
"30" 30 0 12 0 4 12 "Przeciw" 1
"31" 31 0 10 0 6 10 "Przeciw" 1
"32" 32 0 15 0 1 15 "Przeciw" 1
"33" 33 0 14 0 2 14 "Przeciw" 1
"34" 34 0 15 0 1 15 "Przeciw" 1
"35" 35 15 0 0 1 15 "Za" 1
"36" 36 15 0 0 1 15 "Za" 1
"37" 37 2 13 0 1 15 "Przeciw" 0.87
"38" 38 15 0 0 1 15 "Za" 1
"39" 39 15 0 0 1 15 "Za" 1
"40" 40 14 0 1 1 15 "Za" 0.93
"41" 41 15 0 0 1 15 "Za" 1
"42" 42 15 0 0 1 15 "Za" 1
"43" 43 15 0 0 1 15 "Za" 1
"44" 44 15 0 0 1 15 "Za" 1
"45" 45 15 0 0 1 15 "Za" 1
"46" 46 0 15 0 1 15 "Przeciw" 1
"47" 47 14 1 0 1 15 "Za" 0.93
"48" 48 14 1 0 1 15 "Za" 0.93
"49" 49 15 0 0 1 15 "Za" 1
"50" 50 15 0 0 1 15 "Za" 1
"51" 51 15 0 0 1 15 "Za" 1
"52" 52 15 0 0 1 15 "Za" 1
"53" 53 14 0 1 1 15 "Za" 0.93
"54" 54 15 0 0 1 15 "Za" 1
"55" 55 15 0 0 1 15 "Za" 1
"56" 56 15 0 0 1 15 "Za" 1
"57" 57 0 15 0 1 15 "Przeciw" 1
"58" 58 0 0 15 1 15 "Wstrzyma³ siê" 1
"59" 59 13 0 0 3 13 "Za" 1
"60" 60 15 0 0 1 15 "Za" 1
"61" 61 14 0 1 1 15 "Za" 0.93
"62" 62 0 15 0 1 15 "Przeciw" 1
"63" 63 0 0 15 1 15 "Wstrzyma³ siê" 1
"64" 64 15 0 0 1 15 "Za" 1
"65" 65 15 0 0 1 15 "Za" 1
"66" 66 0 15 0 1 15 "Przeciw" 1
"67" 67 0 15 0 1 15 "Przeciw" 1
"68" 68 15 0 0 1 15 "Za" 1
"69" 69 15 0 0 1 15 "Za" 1
"70" 70 15 0 1 0 16 "Za" 0.94
"71" 71 16 0 0 0 16 "Za" 1
"72" 72 0 1 15 0 16 "Wstrzyma³ siê" 0.94
"73" 73 16 0 0 0 16 "Za" 1
"74" 74 15 0 1 0 16 "Za" 0.94
"75" 75 0 3 13 0 16 "Wstrzyma³ siê" 0.81
"76" 76 0 7 8 1 15 "Wstrzyma³ siê" 0.53
"77" 77 16 0 0 0 16 "Za" 1
"78" 78 0 14 0 2 14 "Przeciw" 1
"79" 79 0 13 0 3 13 "Przeciw" 1
"80" 80 0 13 0 3 13 "Przeciw" 1
"81" 81 0 13 0 3 13 "Przeciw" 1
"82" 82 0 13 0 3 13 "Przeciw" 1
"83" 83 0 13 0 3 13 "Przeciw" 1
"84" 84 0 13 0 3 13 "Przeciw" 1
"85" 85 12 0 0 4 12 "Za" 1
"86" 86 0 13 0 3 13 "Przeciw" 1
"87" 87 0 13 0 3 13 "Przeciw" 1
"88" 88 0 13 0 3 13 "Przeciw" 1
"89" 89 0 13 0 3 13 "Przeciw" 1
"90" 90 0 13 0 3 13 "Przeciw" 1
"91" 91 0 13 0 3 13 "Przeciw" 1
"92" 92 13 0 0 3 13 "Za" 1
"93" 93 13 0 0 3 13 "Za" 1
"94" 94 0 13 0 3 13 "Przeciw" 1
"95" 95 13 0 0 3 13 "Za" 1
"96" 96 0 13 0 3 13 "Przeciw" 1
"97" 97 13 0 0 3 13 "Za" 1
"98" 98 0 13 0 3 13 "Przeciw" 1
"99" 99 0 13 0 3 13 "Przeciw" 1
"100" 100 0 13 0 3 13 "Przeciw" 1
"101" 101 0 13 0 3 13 "Przeciw" 1
"102" 102 13 0 0 3 13 "Za" 1
