olimpiada;medal;olimpijczyk;rok_urodzenia;wiek;plec;dyscyplina;konkurencja
1924;B;Krolikiewicz Adam;1894;30;M;jezdziectwo;individual
1924;S;Lange Jozef;1897;27;M;kolarstwo;Team Pursuit (4000m)
1924;S;Lazarski Jan;1892;32;M;kolarstwo;Team Pursuit (4000m)
1924;S;Stankiewicz Tomasz;1902;22;M;kolarstwo;Team Pursuit (4000m)
1924;S;Szymczyk Franciszek;1892;32;M;kolarstwo;Team Pursuit (4000m)
1928;B;Antoniewicz Michal;1897;31;M;jezdziectwo;team
1928;S;Antoniewicz Michal;1897;31;M;jezdziectwo;team
1928;B;Birkholz Leszek Leon;1904;24;M;wioslarstwo;four-oared shell with coxswain (4-)
1928;B;Bronikowski Franciszek;1907;21;M;wioslarstwo;four-oared shell with coxswain (4-)
1928;B;De Rommel (Baron) Karol;1888;40;M;jezdziectwo;team
1928;B;Drewek Boleslaw;1903;25;M;wioslarstwo;four-oared shell with coxswain (4-)
1928;B;Friedrich Tadeusz;1903;25;M;szermierka;sabre team
1928;S;Gzowski Kazimierz;1901;27;M;jezdziectwo;team
1928;B;Jankowski Edmund;1903;25;M;wioslarstwo;four-oared shell with coxswain (4-)
1928;Z;Konopacka Halina;1900;28;K;lekkoatletyka;discus throw
1928;B;Laskowski Kazimierz;1899;29;M;szermierka;sabre team
1928;B;Malecki Aleksander S.;1901;27;M;szermierka;sabre team
1928;B;Ormanowski Bernard;1907;21;M;wioslarstwo;four-oared shell with coxswain (4-)
1928;B;Papée Adam;1895;33;M;szermierka;sabre team
1928;B;Segda Wladyslaw;1895;33;M;szermierka;sabre team
1928;S;Szosland Kazimierz;1891;37;M;jezdziectwo;team
1928;B;Trenkwald Jozef;1897;31;M;jezdziectwo;team
1928;B;Zabielski Jerzy;1897;31;M;szermierka;sabre team
1932;B;Braun Jerzy;1911;21;M;wioslarstwo;four-oared shell with coxswain (4-)
1932;S;Braun Jerzy;1911;21;M;wioslarstwo;pair-oared shell with coxswain (2+)
1932;B;Budzinski Henryk;1904;28;M;wioslarstwo;coxless pair (2-)
1932;B;Dobrowolski Wladyslaw;1896;36;M;szermierka;sabre team
1932;B;Friedrich Tadeusz;1903;29;M;szermierka;sabre team
1932;B;Kobylinski Edward;1908;24;M;wioslarstwo;four-oared shell with coxswain (4-)
1932;B;Krenz-Mikolajczak Janusz;1907;25;M;wioslarstwo;coxless pair (2-)
1932;Z;Kusocinski Janusz;1907;25;M;lekkoatletyka;10000m
1932;B;Lubicz-Nycz Leszek;1899;33;M;szermierka;sabre team
1932;B;Papée Adam;1895;37;M;szermierka;sabre team
1932;B;Segda Wladyslaw;1895;37;M;szermierka;sabre team
1932;B;Skolimowski Jerzy;1907;25;M;wioslarstwo;four-oared shell with coxswain (4-)
1932;S;Skolimowski Jerzy;1907;25;M;wioslarstwo;pair-oared shell with coxswain (2+)
1932;B;Slazak Janusz;1907;25;M;wioslarstwo;four-oared shell with coxswain (4-)
1932;S;Slazak Janusz;1907;25;M;wioslarstwo;pair-oared shell with coxswain (2+)
1932;B;Suski Marian;1905;27;M;szermierka;sabre team
1932;B;Urban Stanislaw;1907;25;M;wioslarstwo;four-oared shell with coxswain (4-)
1932;B;Wajsowna Jadwiga;1912;20;K;lekkoatletyka;discus throw
1932;Z;Walasiewicz Stanislawa;1911;21;K;lekkoatletyka;100m
1936;B;Karas Wladyslaw;1893;43;M;strzelectwo;50m rifle prone (60 shots)
1936;S;Kawecki Zdzislaw;1902;34;M;jezdziectwo;team
1936;S;Kulesza Seweryn;1900;36;M;jezdziectwo;team
1936;B;Kwasniewska-Maleszewska Marja Jadwiga;1913;23;K;lekkoatletyka;javelin throw
1936;S;Roycewicz Henryk;1898;38;M;jezdziectwo;team
1936;B;Ustupski Jerzy;1911;25;M;wioslarstwo;double sculls (2x)
1936;B;Verey Roger;1912;24;M;wioslarstwo;double sculls (2x)
1936;S;Wajsowna Jadwiga;1912;24;K;lekkoatletyka;discus throw
1936;S;Walasiewicz Stanislawa;1911;25;K;lekkoatletyka;100m
1948;B;Antkiewicz Aleksy;1923;25;M;boks;54 - 58kg (featherweight)
1952;S;Antkiewicz Aleksy;1923;29;M;boks;57 - 60kg (lightweight)
1952;Z;Chychla Zygmunt;1926;26;M;boks;63.5 - 67kg (welterweight)
1952;S;Jokiel Jerzy;1931;21;M;gimnastyka;floor exercises
1952;B;Kocerka Teodor;1927;25;M;wioslarstwo;single sculls (1x)
1956;Z;Dunska-Krzesinska Elzbieta;1934;22;K;lekkoatletyka;long jump
1956;B;Horzonek-Jokiel Dorota;1934;22;K;gimnastyka;team, portable apparatus
1956;B;Kot Natalia;1938;18;K;gimnastyka;team, portable apparatus
1956;S;Kuszewski Marian Zygmunt;1933;23;M;szermierka;sabre team
1956;B;Niedzwiedzki Henryk;1933;23;M;boks;54 - 57kg (featherweight)
1956;B;Nowak-Stachow Danuta;1934;22;K;gimnastyka;team, portable apparatus
1956;S;Pawlas Zygmunt;1930;26;M;szermierka;sabre team
1956;S;Pawlowski Jerzy;1932;24;M;szermierka;sabre individual
1956;S;Pawlowski Jerzy;1932;24;M;szermierka;sabre team
1956;S;Piatkowski Andrzej Ryszard;1934;22;M;szermierka;sabre team
1956;B;Pietrzykowski Zbigniew;1934;22;M;boks;67 - 71kg (light-middleweight)
1956;B;Rakoczy Helena;1921;35;K;gimnastyka;team, portable apparatus
1956;S;Sidlo Janusz;1933;23;M;lekkoatletyka;javelin throw
1956;S;Smelczynski Adam;1930;26;M;strzelectwo;trap (125 targets)
1956;B;Szczerbinska Lidia;1934;22;K;gimnastyka;team, portable apparatus
1956;B;Wilkowna-Slizowska Barbara;1935;21;K;gimnastyka;team, portable apparatus
1956;S;Zablocki Wojciech;1930;26;M;szermierka;sabre team
1956;B;Zielinski Marian;1929;27;M;podnoszenie ciezarow;56 - 60kg, total (featherweight)
1956;S;Zub Ryszard;1934;22;M;szermierka;sabre team
1960;S;Adamski Jerzy;1937;23;M;boks;54 - 57kg (featherweight)
1960;B;Bendig Brunon;1938;22;M;boks;51 - 54kg (bantamweight)
1960;B;Bochenek Jan;1931;29;M;podnoszenie ciezarow;75 - 82.5kg, total (light-heavyweight)
1960;B;Drogosz Leszek (Lech);1933;27;M;boks;63.5 - 67kg (welterweight)
1960;S;Dunska-Krzesinska Elzbieta;1934;26;K;lekkoatletyka;long jump
1960;B;Herrmann-Gorecka-Richter Halina;1938;22;K;lekkoatletyka;4x100m relay
1960;B;Jesionowska-Gerwin Celina;1933;27;K;lekkoatletyka;4x100m relay
1960;S;Jozwiakowska-Bieda Jaroslawa;1937;23;K;lekkoatletyka;high jump
1960;B;Kaplaniak Stefan;1933;27;M;kajakarstwo;K-2 1000m (kayak double)
1960;B;Kasprzyk Marian;1939;21;M;boks;60 - 63.5kg (light-welterweight)
1960;B;Kocerka Teodor;1927;33;M;wioslarstwo;single sculls (1x)
1960;Z;Krzyszkowiak Zdzislaw;1929;31;M;lekkoatletyka;3000m steeplechase
1960;S;Kuszewski Marian Zygmunt;1933;27;M;szermierka;sabre team
1960;B;Lerczak-Janiszewska Barbara;1936;24;K;lekkoatletyka;4x100m relay
1960;S;Ochyra Emil Antoni;1936;24;M;szermierka;sabre team
1960;Z;Palinski Ireneusz;1932;28;M;podnoszenie ciezarow;75 - 82.5kg, total (light-heavyweight)
1960;S;Pawlowski Jerzy;1932;28;M;szermierka;sabre team
1960;Z;Pazdzior Kazimierz;1935;25;M;boks;57 - 60kg (lightweight)
1960;S;Piatkowski Andrzej Ryszard;1934;26;M;szermierka;sabre team
1960;S;Pietrzykowski Zbigniew;1934;26;M;boks;75 - 81kg (light-heavyweight)
1960;B;Rut Tadeusz;1931;29;M;lekkoatletyka;hammer throw
1960;Z;Schmidt Jozef;1935;25;M;lekkoatletyka;triple jump
1960;B;Trojanowski Tadeusz Hipolit;1933;27;M;zapasy;52 - 57kg (bantamweight)
1960;S;Walasek Tadeusz;1936;24;M;boks;71-75kg
1960;B;Walkowiak-Pilecka Daniela;1935;25;K;kajakarstwo;K-1 500m (kayak single)
1960;B;Wieczorek-Cieply Teresa Barbara;1937;23;K;lekkoatletyka;4x100m relay
1960;S;Zablocki Wojciech;1930;30;M;szermierka;sabre team
1960;B;Zielinski Wladyslaw;1935;25;M;kajakarstwo;K-2 1000m (kayak double)
1960;B;Zimny Kazimierz;1935;25;M;lekkoatletyka;5000m
1960;S;Zub Ryszard;1934;26;M;szermierka;sabre team
1964;B;Badenski Andrzej;1943;21;M;lekkoatletyka;400m
1964;Z;Baszanowski Waldemar;1935;29;M;podnoszenie ciezarow;60 - 67.5kg, total (lightweight)
1964;B;Czajkowska Krystyna;1936;28;K;siatkowka;siatkowka
1964;S;Dudziak Marjan;1941;23;M;lekkoatletyka;4x100m relay
1964;S;Foik Marjan;1933;31;M;lekkoatletyka;4x100m relay
1964;Z;Franke Egon;1935;29;M;szermierka;foil individual
1964;S;Franke Egon;1935;29;M;szermierka;foil team
1964;B;Golimowska Marja;1932;32;K;siatkowka;siatkowka
1964;Z;Grudzien Jozef;1939;25;M;boks;57 - 60kg (lightweight)
