olimpiada;dyscyplina;olimpijczyk;rok_urodzenia;plec;konkurencja;medal;druzyna;liczba_osob;wiek
1924;jezdziectwo;Krolikiewicz Adam;1894;M;individual;B;I;1;30
1924;kolarstwo;Lange Jozef;1897;M;Team Pursuit (4000m);S;T;4;27
1924;kolarstwo;Lazarski Jan;1892;M;Team Pursuit (4000m);S;T;4;32
1924;kolarstwo;Stankiewicz Tomasz;1902;M;Team Pursuit (4000m);S;T;4;22
1924;kolarstwo;Szymczyk Franciszek;1892;M;Team Pursuit (4000m);S;T;4;32
1928;jezdziectwo;Antoniewicz Michal;1897;M;team;B;T;3;31
1928;jezdziectwo;Antoniewicz Michal;1897;M;team;S;T;3;31
1928;wioslarstwo;Birkholz Leszek Leon;1904;M;four-oared shell with coxswain (4-);B;T;5;24
1928;wioslarstwo;Bronikowski Franciszek;1907;M;four-oared shell with coxswain (4-);B;T;5;21
1928;jezdziectwo;De Rommel (Baron) Karol;1888;M;team;B;T;3;40
1928;wioslarstwo;Drewek Boleslaw;1903;M;four-oared shell with coxswain (4-);B;T;5;25
1928;szermierka;Friedrich Tadeusz;1903;M;sabre team;B;T;6;25
1928;jezdziectwo;Gzowski Kazimierz;1901;M;team;S;T;3;27
1928;wioslarstwo;Jankowski Edmund;1903;M;four-oared shell with coxswain (4-);B;T;5;25
1928;lekkoatletyka;Konopacka Halina;1900;K;discus throw;Z;I;1;28
1928;szermierka;Laskowski Kazimierz;1899;M;sabre team;B;T;6;29
1928;szermierka;Malecki Aleksander S.;1901;M;sabre team;B;T;6;27
1928;wioslarstwo;Ormanowski Bernard;1907;M;four-oared shell with coxswain (4-);B;T;5;21
1928;szermierka;Papée Adam;1895;M;sabre team;B;T;6;33
1928;szermierka;Segda Wladyslaw;1895;M;sabre team;B;T;6;33
1928;jezdziectwo;Szosland Kazimierz;1891;M;team;S;T;3;37
1928;jezdziectwo;Trenkwald Jozef;1897;M;team;B;T;3;31
1928;szermierka;Zabielski Jerzy;1897;M;sabre team;B;T;6;31
1932;wioslarstwo;Braun Jerzy;1911;M;four-oared shell with coxswain (4-);B;T;5;21
1932;wioslarstwo;Braun Jerzy;1911;M;pair-oared shell with coxswain (2+);S;T;3;21
1932;wioslarstwo;Budzinski Henryk;1904;M;coxless pair (2-);B;T;2;28
1932;szermierka;Dobrowolski Wladyslaw;1896;M;sabre team;B;T;6;36
1932;szermierka;Friedrich Tadeusz;1903;M;sabre team;B;T;6;29
1932;wioslarstwo;Kobylinski Edward;1908;M;four-oared shell with coxswain (4-);B;T;5;24
1932;wioslarstwo;Krenz-Mikolajczak Janusz;1907;M;coxless pair (2-);B;T;2;25
1932;lekkoatletyka;Kusocinski Janusz;1907;M;10000m;Z;I;1;25
1932;szermierka;Lubicz-Nycz Leszek;1899;M;sabre team;B;T;6;33
1932;szermierka;Papée Adam;1895;M;sabre team;B;T;6;37
1932;szermierka;Segda Wladyslaw;1895;M;sabre team;B;T;6;37
1932;wioslarstwo;Skolimowski Jerzy;1907;M;four-oared shell with coxswain (4-);B;T;5;25
1932;wioslarstwo;Skolimowski Jerzy;1907;M;pair-oared shell with coxswain (2+);S;T;3;25
1932;wioslarstwo;Slazak Janusz;1907;M;four-oared shell with coxswain (4-);B;T;5;25
1932;wioslarstwo;Slazak Janusz;1907;M;pair-oared shell with coxswain (2+);S;T;3;25
1932;szermierka;Suski Marian;1905;M;sabre team;B;T;6;27
1932;wioslarstwo;Urban Stanislaw;1907;M;four-oared shell with coxswain (4-);B;T;5;25
1932;lekkoatletyka;Wajsowna Jadwiga;1912;K;discus throw;B;I;1;20
1932;lekkoatletyka;Walasiewicz Stanislawa;1911;K;100m;Z;I;1;21
1936;strzelectwo;Karas Wladyslaw;1893;M;50m rifle prone (60 shots);B;I;1;43
1936;jezdziectwo;Kawecki Zdzislaw;1902;M;team;S;T;3;34
1936;jezdziectwo;Kulesza Seweryn;1900;M;team;S;T;3;36
1936;lekkoatletyka;Kwasniewska-Maleszewska Marja Jadwiga;1913;K;javelin throw;B;I;1;23
1936;jezdziectwo;Roycewicz Henryk;1898;M;team;S;T;3;38
1936;wioslarstwo;Ustupski Jerzy;1911;M;double sculls (2x);B;T;2;25
1936;wioslarstwo;Verey Roger;1912;M;double sculls (2x);B;T;2;24
1936;lekkoatletyka;Wajsowna Jadwiga;1912;K;discus throw;S;I;1;24
1936;lekkoatletyka;Walasiewicz Stanislawa;1911;K;100m;S;I;1;25
1948;boks;Antkiewicz Aleksy;1923;M;54 - 58kg (featherweight);B;I;1;25
1952;boks;Antkiewicz Aleksy;1923;M;57 - 60kg (lightweight);S;I;1;29
1952;boks;Chychla Zygmunt;1926;M;63.5 - 67kg (welterweight);Z;I;1;26
1952;gimnastyka;Jokiel Jerzy;1931;M;floor exercises;S;I;1;21
1952;wioslarstwo;Kocerka Teodor;1927;M;single sculls (1x);B;I;1;25
1956;lekkoatletyka;Dunska-Krzesinska Elzbieta;1934;K;long jump;Z;I;1;22
1956;gimnastyka;Horzonek-Jokiel Dorota;1934;K;team, portable apparatus;B;T;6;22
1956;gimnastyka;Kot Natalia;1938;K;team, portable apparatus;B;T;6;18
1956;szermierka;Kuszewski Marian Zygmunt;1933;M;sabre team;S;T;6;23
1956;boks;Niedzwiedzki Henryk;1933;M;54 - 57kg (featherweight);B;I;1;23
1956;gimnastyka;Nowak-Stachow Danuta;1934;K;team, portable apparatus;B;T;6;22
1956;szermierka;Pawlas Zygmunt;1930;M;sabre team;S;T;6;26
1956;szermierka;Pawlowski Jerzy;1932;M;sabre individual;S;I;1;24
1956;szermierka;Pawlowski Jerzy;1932;M;sabre team;S;T;6;24
1956;szermierka;Piatkowski Andrzej Ryszard;1934;M;sabre team;S;T;6;22
1956;boks;Pietrzykowski Zbigniew;1934;M;67 - 71kg (light-middleweight);B;I;1;22
1956;gimnastyka;Rakoczy Helena;1921;K;team, portable apparatus;B;T;6;35
1956;lekkoatletyka;Sidlo Janusz;1933;M;javelin throw;S;I;1;23
