Kolumna1,ID,lp,ekspot,kategorie,start_min,start_s,stop_min,stop_s,czas_w_sek,czas_w_min,Z_KIM,X1_OSTOW,X2_OSTOW,X3_OSTOW,X4_OSTOW,X5_OSTOW,X6_OSTOW,X7_OSTOW,X8_OSTOW,X9_OSTOW,ILE_OSTOW,zach,opis,animator,uwagi,os_3,os_3_e,os_2,os_2_e
1,102,542,PODWÓJNE ZWIERCIADŁO,2,0,30,1,16,46,0.77,112,112,,,,,,,,,1,1,,,,2,z inną osobą,2,z innymi
2,102,543,ZWIERCIADLANY LABIRYNT,2,1,20,2,20,60,1,"0112, 0111, 0102",112,111,102,,,,,,,3,3,,,,3,z 3 lub więcej osobami,2,z innymi
3,102,544,LUSTRO POWIĘKSZAJĄCE,2,2,20,3,30,70,1.17,"0112, 0111, 0102",112,111,102,,,,,,,3,1,,,,3,z 3 lub więcej osobami,2,z innymi
4,102,545,MEGAKALEJDOSKOP,2,3,40,4,5,25,0.42,"0112, 0111, 0102",112,111,102,,,,,,,3,1,,,,3,z 3 lub więcej osobami,2,z innymi
5,102,546,WIDOK Z TYŁU,2,4,10,4,40,30,0.5,112,112,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
6,102,547,OCZY Z TYŁU GŁOWY,2,4,40,5,12,32,0.53,"0112, 0102",112,102,,,,,,,,2,3,,,"0111 woła 0112, 0102.",3,z 3 lub więcej osobami,2,z innymi
7,102,548,KOSTKA DO NIESKOŃCZONOŚCI,2,5,20,7,3,103,1.72,"0112, 0111, 0102",112,111,102,,,,,,,3,,,,,3,z 3 lub więcej osobami,2,z innymi
8,102,549,KRZYWE ZWIERCIADŁA,2,7,5,8,40,95,1.58,"0112, 0111, 0102",112,111,102,,,,,,,3,3,,,,3,z 3 lub więcej osobami,2,z innymi
9,102,550,JA LATAM,2,8,40,9,40,60,1,"0112, 0111, 0102",112,111,102,,,,,,,3,3,,,,3,z 3 lub więcej osobami,2,z innymi
10,102,551,DUCH PEPPERA,2,9,45,11,12,87,1.45,"0112, 0111, 0102",112,111,102,,,,,,,3,3,,,,3,z 3 lub więcej osobami,2,z innymi
